,Month,Longitude,Latitude,hours,minutes,crime,Cluster_Index,danger_index
0,2014-04,-3.048,53.432104,18,50,Rape,0,173
1,2014-04,-3.04672,53.431477,18,12,Robery,0,173
2,2014-04,-3.041693,53.433921,20,14,Robery,0,173
3,2014-04,-3.047342,53.430465,12,1,Robery,0,173
4,2014-04,-3.041693,53.433921,10,5,HNT,0,173
5,2014-04,-3.035523,53.437723,6,49,Kidnap,0,173
6,2014-04,-3.047934,53.44104,7,4,Rape,0,173
7,2014-04,-3.035379,53.434902,6,44,Murder,0,173
8,2014-04,-3.047934,53.44104,13,10,HNT,0,173
9,2014-04,-3.047934,53.44104,19,33,Pick,0,173
10,2014-04,-3.035523,53.437723,15,23,Robery,0,173
11,2014-04,-3.047934,53.44104,17,15,Violence and Offence,0,173
12,2014-04,-3.047934,53.44104,11,44,Rape,0,173
13,2014-04,-3.035523,53.437723,20,49,Murder,0,173
14,2014-04,-3.047934,53.44104,22,57,Chain,0,173
15,2014-04,-3.035523,53.437723,16,12,Pick,0,173
16,2014-04,-3.047934,53.44104,20,50,Pick,0,173
17,2014-04,-3.047934,53.44104,15,31,Pick,0,173
18,2014-04,-3.036115,53.432352,3,30,Pick,0,173
19,2014-04,-3.039852,53.433155,20,38,Robery,0,173
20,2014-04,-3.039852,53.433155,0,5,Kidnap,0,173
21,2014-04,-3.039852,53.433155,7,54,Kidnap,0,173
22,2014-04,-3.039738,53.435853,1,48,Murder,0,173
23,2014-04,-3.037964,53.436561,8,39,HNT,0,173
24,2014-04,-3.047934,53.44104,3,30,Murder,0,173
25,2014-04,-3.047934,53.44104,2,34,Robery,0,173
26,2014-04,-3.047934,53.44104,5,49,Chain,0,173
27,2014-04,-3.045689,53.438534,6,24,HNT,0,173
28,2014-04,-3.045689,53.438534,5,45,Pick,0,173
29,2014-04,-3.044311,53.436334,20,56,Violence and Offence,0,173
30,2014-04,-3.045665,53.437545,5,33,Murder,0,173
31,2014-04,-3.045263,53.433414,13,6,Murder,0,173
32,2014-04,-3.044311,53.436334,4,54,Rape,0,173
33,2014-04,-3.045263,53.433414,16,9,Pick,0,173
